Game,Session,Trial,Phase,Per_final,O1,O2,O3,D1,D2,D3
1,1,1,0,0,0.24851,1.55514,2.94904,4.97753,2.42273,7.16304
1,1,2,0,0,0.38475,3.33485,1.54813,3.13406,11.17775,3.84793
1,1,3,0,0,3.22626,3.01664,2.82259,3.62042,3.89775,4.99593
1,1,4,0,0,0.28474,5.47438,2.26011,2.54891,9.44099,5.39797
1,1,5,0,1,4.28034,3.63294,4.42852,4.30648,4.64781,4.40860
1,1,6,0,1,3.22676,2.55752,6.48942,2.18353,3.76115,6.07196
1,1,7,0,1,7.04369,4.39158,3.83037,4.06276,4.47804,2.94928
1,2,1,0,0,3.41343,4.16907,6.29624,3.66809,4.03530,3.96099
1,2,2,0,1,3.27259,2.95623,2.99063,3.40780,5.27534,7.78219
1,2,3,0,1,4.02985,3.48556,6.05178,3.27930,3.88647,4.17068
1,2,4,0,1,3.34674,4.17181,3.99587,2.63244,6.20170,3.63942
1,2,5,0,0,5.91050,3.85040,4.34299,1.88282,6.90842,3.86117
1,2,6,0,1,2.91616,4.44700,3.57771,3.17339,3.75500,6.97194
1,2,7,0,1,4.83598,2.41952,5.24654,2.80103,5.75314,5.93646
1,3,1,0,1,3.01101,2.77757,4.44872,2.18062,6.07559,3.96088
1,3,2,0,0,1.99165,4.66906,7.34266,3.56715,4.97127,5.04655
1,3,3,0,1,3.94566,1.90971,4.24580,3.71831,7.04129,3.39192
1,3,4,0,1,4.63151,2.86799,4.46362,2.60189,5.46519,3.40599
1,3,5,0,1,3.68089,2.28266,3.91110,4.08413,3.73514,3.95231
1,3,6,0,1,2.95133,3.73467,2.83575,4.66095,6.34367,3.44968
1,3,7,0,1,3.56413,4.15433,4.37820,2.34382,5.89989,6.87704
2,1,1,1,1,5.55251,2.51696,3.64983,4.17270,5.74203,4.98042
2,1,2,1,1,3.73979,4.37481,4.88004,2.52927,4.18469,7.81629
2,1,3,1,0,4.21845,2.46149,1.80641,4.37467,10.05526,3.98653
2,1,4,1,0,3.36348,2.67306,2.57040,6.75583,5.28813,7.26486
2,1,5,1,1,3.16609,4.03063,1.99950,4.53950,5.59547,3.28681
2,1,6,1,0,4.67544,3.46894,3.97042,4.39563,4.84052,3.87438
2,1,7,1,0,2.28518,3.55815,5.47497,3.56592,6.13517,3.43289
